date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:17	8733/8733	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202016%2014:57:17%20GMT	https://www.loc.gov/rr/main/inforeas/special.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/main/inforeas/special.html	(from https://www.loc.gov/rr/)
20:32:18	8946/8946	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202016%2019:51:59%20GMT	https://www.loc.gov/rr/cmd/specialsearch_pub_form.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/cmd/specialsearch_pub_form.html	(from https://www.loc.gov/rr/)
20:32:19	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Jan%202020%2015:02:19%20GMT	http://www.loc.gov/homepage/connect.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/homepage/connect.html	(from https://www.loc.gov/rr/)
20:32:19	27754/27754	---MCZ	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202020%2015:02:19%20GMT	https://www.loc.gov/rr/copying.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/rr/copying.html	(from https://www.loc.gov/rr/)
20:32:19	0/-1	---M--	301	error ('')			https://www.loc.gov/homepage/connect.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/homepage/connect.1b9.delayed	(from https://www.loc.gov/rr/)
20:32:20	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Jan%202020%2015:02:20%20GMT	http://www.loc.gov/help/contact-general.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/help/contact-general.1ba.delayed	(from https://www.loc.gov/rr/)
20:32:20	0/-1	---M--	301	error ('')			https://www.loc.gov/help/contact-general.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/help/contact-general.1bb.delayed	(from https://www.loc.gov/rr/)
20:32:20	0/-1	---M--	301	error ('')			http://www.loc.gov/homepage/legal.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/homepage/legal.1bc.delayed	(from https://www.loc.gov/rr/)
20:32:20	0/-1	---M--	301	error ('')			https://www.loc.gov/homepage/legal.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/homepage/legal.1bd.delayed	(from https://www.loc.gov/rr/)
20:32:20	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Fri,%2031%20Jan%202020%2015:02:20%20GMT	http://www.loc.gov/global/disclaim.html	C:/Users/shiva/Desktop/nhh/lib/library/www.loc.gov/global/disclaim.html	(from https://www.loc.gov/rr/)
